tag,battery,holdout,item_text,method,rmse,kl_divergence,cross_entropy,target_entropy,prediction,truth,selected_rho,held_in_residual,effective_support,n_support_valid
pew_w154_diff1_n12,Pew W154 DIFF1,hobbies,Their hobbies and personal interests,generated support mixture,0.12681943123721978,0.033531168926741906,0.6603937500050505,0.6268625810783085,"[0.44681, 0.55319]","[0.319991, 0.680009]",0.0003,0.003205825943506794,2.46344979447234,12
pew_w154_diff1_n12,Pew W154 DIFF1,hobbies,Their hobbies and personal interests,unweighted support bank,0.1758424558593706,0.06331910141658931,0.6901816824948978,0.6268625810783085,"[0.495833, 0.504167]","[0.319991, 0.680009]",,,,12
pew_w154_diff1_n12,Pew W154 DIFF1,hobbies,Their hobbies and personal interests,uniform,0.1800091225260373,0.06628459948163687,0.6931471805599453,0.6268625810783085,"[0.5, 0.5]","[0.319991, 0.680009]",,,,12
pew_w154_diff1_n12,Pew W154 DIFF1,physical_abilities,Their physical abilities,generated support mixture,0.041327754989995386,0.00627310334783792,0.4935164628360662,0.4872433594882283,"[0.149377, 0.850623]","[0.190705, 0.809295]",0.0003,0.004300726151316165,2.9992611341859083,12
pew_w154_diff1_n12,Pew W154 DIFF1,physical_abilities,Their physical abilities,unweighted support bank,0.061795172340285906,0.010753960683439798,0.49799732017166803,0.4872433594882283,"[0.2525, 0.7475]","[0.190705, 0.809295]",,,,12
pew_w154_diff1_n12,Pew W154 DIFF1,physical_abilities,Their physical abilities,uniform,0.3092951723402859,0.20590382107171698,0.6931471805599452,0.4872433594882283,"[0.5, 0.5]","[0.190705, 0.809295]",,,,12
pew_w154_diff1_n12,Pew W154 DIFF1,parenting,Their approach to parenting,generated support mixture,0.04093306131291752,0.003885935321652857,0.6038944735132532,0.6000085381916004,"[0.328555, 0.671445]","[0.287622, 0.712378]",0.0003,0.010650768621628455,2.988644182145599,12
pew_w154_diff1_n12,Pew W154 DIFF1,parenting,Their approach to parenting,unweighted support bank,0.1932115171379481,0.07758359514753482,0.6775921333391351,0.6000085381916004,"[0.480833, 0.519167]","[0.287622, 0.712378]",,,,12
pew_w154_diff1_n12,Pew W154 DIFF1,parenting,Their approach to parenting,uniform,0.2123781838046147,0.09313864236834488,0.6931471805599453,0.6000085381916004,"[0.5, 0.5]","[0.287622, 0.712378]",,,,12
pew_w154_diff1_n12,Pew W154 DIFF1,feelings,How they express their feelings,generated support mixture,0.1358705878374015,0.05905852579079099,0.40470148537687634,0.3456429595860854,"[0.245454, 0.754546]","[0.109583, 0.890417]",0.0003,0.00021385046569358544,5.272158539944018,12
pew_w154_diff1_n12,Pew W154 DIFF1,feelings,How they express their feelings,unweighted support bank,0.24791683256127559,0.16098660227782535,0.5066295618639107,0.3456429595860854,"[0.3575, 0.6425]","[0.109583, 0.890417]",,,,12
pew_w154_diff1_n12,Pew W154 DIFF1,feelings,How they express their feelings,uniform,0.3904168325612756,0.3475042209738599,0.6931471805599453,0.3456429595860854,"[0.5, 0.5]","[0.109583, 0.890417]",,,,12
pew_w154_diff1_n12,Pew W154 DIFF1,workplace,The things they are good at in the workplace,generated support mixture,0.11231973359250741,0.025303194389617006,0.7078958008369693,0.6825926064473523,"[0.460197, 0.539803]","[0.572517, 0.427483]",0.0003,0.006165693239538568,2.9392036959798173,12
pew_w154_diff1_n12,Pew W154 DIFF1,workplace,The things they are good at in the workplace,unweighted support bank,0.04414981168231455,0.004069660217249665,0.6866622666646018,0.6825926064473523,"[0.616667, 0.383333]","[0.572517, 0.427483]",,,,12
pew_w154_diff1_n12,Pew W154 DIFF1,workplace,The things they are good at in the workplace,uniform,0.07251685498435215,0.010554574112593001,0.6931471805599453,0.6825926064473523,"[0.5, 0.5]","[0.572517, 0.427483]",,,,12
