job_id,support_id,weight,item,sampled_option_index,sampled_first_token,sampled_token_probability,code_0_probability_raw,code_1_probability_raw,code_0_probability_conditional,both_codes_observed,sampled_lower_probability_code,original_elicited_probability_0
pew_w154_diff1_uniform_n96_095,95,0.101779996682103,hobbies,1,1,1.0,1.449336997733435e-13,1.0,1.449336997733225e-13,True,False,0.05
pew_w154_diff1_uniform_n96_031,31,0.088167945396506,hobbies,1,1,1.0,,1.0,0.0,False,False,0.07
pew_w154_diff1_uniform_n96_063,63,0.0759309672984288,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_096,96,0.0691542375736115,hobbies,1,1,1.0,,1.0,0.0,False,False,0.04
pew_w154_diff1_uniform_n96_064,64,0.0681844328529047,hobbies,1,1,1.0,,1.0,0.0,False,False,0.04
pew_w154_diff1_uniform_n96_032,32,0.0495090867146367,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_015,15,0.0338464551885426,hobbies,0,0,1.0,1.0,4.685564914880043e-16,0.9999999999999996,True,False,0.86
pew_w154_diff1_uniform_n96_047,47,0.0321448003630649,hobbies,0,0,1.0,1.0,5.029879944471768e-12,0.99999999999497,True,False,0.82
pew_w154_diff1_uniform_n96_079,79,0.0302408941751202,hobbies,0,0,1.0,1.0,7.75774191812223e-14,0.9999999999999225,True,False,0.82
pew_w154_diff1_uniform_n96_060,60,0.0264616432810531,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_048,48,0.0251677917071135,hobbies,0,0,1.0,1.0,1.6777293501459137e-14,0.9999999999999831,True,False,0.86
pew_w154_diff1_uniform_n96_016,16,0.0207836823703215,hobbies,0,0,1.0,1.0,6.404407901490813e-16,0.9999999999999993,True,False,0.86
pew_w154_diff1_uniform_n96_080,80,0.0196765825424098,hobbies,0,0,1.0,1.0,9.411208710381578e-15,0.9999999999999907,True,False,0.82
