job_id,support_id,weight,item,probabilities,draw,expected_option_index,observed_option_index,correct
pew_w154_diff1_uniform_n96_095,95,0.101779996682103,hobbies,"[0.05, 0.95]",0.42335804675251465,1,1,True
pew_w154_diff1_uniform_n96_095,95,0.101779996682103,physical_abilities,"[0.05, 0.95]",0.019411744096089478,0,0,True
pew_w154_diff1_uniform_n96_095,95,0.101779996682103,parenting,"[0.05, 0.95]",0.30697022342638836,1,1,True
pew_w154_diff1_uniform_n96_095,95,0.101779996682103,feelings,"[0.05, 0.95]",0.7615701248512976,1,1,True
pew_w154_diff1_uniform_n96_095,95,0.101779996682103,workplace,"[0.95, 0.05]",0.1398992160452065,0,0,True
pew_w154_diff1_uniform_n96_031,31,0.088167945396506,hobbies,"[0.07, 0.93]",0.21714940831413454,1,1,True
pew_w154_diff1_uniform_n96_031,31,0.088167945396506,physical_abilities,"[0.04, 0.96]",0.7210038347640969,1,1,True
pew_w154_diff1_uniform_n96_031,31,0.088167945396506,parenting,"[0.1, 0.9]",0.6550192432364687,1,1,True
pew_w154_diff1_uniform_n96_031,31,0.088167945396506,feelings,"[0.06, 0.94]",0.9673831513553002,1,1,True
pew_w154_diff1_uniform_n96_031,31,0.088167945396506,workplace,"[0.91, 0.09]",0.30145646763813594,0,0,True
pew_w154_diff1_uniform_n96_063,63,0.0759309672984288,hobbies,"[0.08, 0.92]",0.7869292663433184,1,1,True
pew_w154_diff1_uniform_n96_063,63,0.0759309672984288,physical_abilities,"[0.04, 0.96]",0.22894677715558032,1,1,True
pew_w154_diff1_uniform_n96_063,63,0.0759309672984288,parenting,"[0.12, 0.88]",0.3840769183183692,1,1,True
pew_w154_diff1_uniform_n96_063,63,0.0759309672984288,feelings,"[0.07, 0.93]",0.4003665402579193,1,1,True
pew_w154_diff1_uniform_n96_063,63,0.0759309672984288,workplace,"[0.89, 0.11]",0.6864412750414777,0,0,True
pew_w154_diff1_uniform_n96_096,96,0.0691542375736115,hobbies,"[0.04, 0.96]",0.04996412894686597,1,1,True
pew_w154_diff1_uniform_n96_096,96,0.0691542375736115,physical_abilities,"[0.02, 0.98]",0.5942265148092218,1,1,True
pew_w154_diff1_uniform_n96_096,96,0.0691542375736115,parenting,"[0.05, 0.95]",0.840484593075877,1,1,True
pew_w154_diff1_uniform_n96_096,96,0.0691542375736115,feelings,"[0.03, 0.97]",0.6493831264466586,1,1,True
pew_w154_diff1_uniform_n96_096,96,0.0691542375736115,workplace,"[0.08, 0.92]",0.4329588791348673,1,1,True
pew_w154_diff1_uniform_n96_064,64,0.0681844328529047,hobbies,"[0.04, 0.96]",0.10345380513247282,1,1,True
pew_w154_diff1_uniform_n96_064,64,0.0681844328529047,physical_abilities,"[0.02, 0.98]",0.8733135075006219,1,1,True
pew_w154_diff1_uniform_n96_064,64,0.0681844328529047,parenting,"[0.05, 0.95]",0.7493296779104925,1,1,True
pew_w154_diff1_uniform_n96_064,64,0.0681844328529047,feelings,"[0.03, 0.97]",0.3691297004334033,1,1,True
pew_w154_diff1_uniform_n96_064,64,0.0681844328529047,workplace,"[0.06, 0.94]",0.10792550456907357,1,1,True
pew_w154_diff1_uniform_n96_032,32,0.0495090867146367,hobbies,"[0.08, 0.92]",0.5297953771199393,1,1,True
pew_w154_diff1_uniform_n96_032,32,0.0495090867146367,physical_abilities,"[0.03, 0.97]",0.014568992813632997,0,0,True
pew_w154_diff1_uniform_n96_032,32,0.0495090867146367,parenting,"[0.1, 0.9]",0.2966552633424684,1,1,True
pew_w154_diff1_uniform_n96_032,32,0.0495090867146367,feelings,"[0.06, 0.94]",0.8819741629539161,1,1,True
pew_w154_diff1_uniform_n96_032,32,0.0495090867146367,workplace,"[0.12, 0.88]",0.20831464129312827,1,1,True
pew_w154_diff1_uniform_n96_015,15,0.0338464551885426,hobbies,"[0.86, 0.14]",0.5035053604047168,0,0,True
pew_w154_diff1_uniform_n96_015,15,0.0338464551885426,physical_abilities,"[0.08, 0.92]",0.07780332321221728,0,0,True
pew_w154_diff1_uniform_n96_015,15,0.0338464551885426,parenting,"[0.18, 0.82]",0.050276011862078196,0,0,True
pew_w154_diff1_uniform_n96_015,15,0.0338464551885426,feelings,"[0.12, 0.88]",0.5555926402185185,1,1,True
pew_w154_diff1_uniform_n96_015,15,0.0338464551885426,workplace,"[0.89, 0.11]",0.9383206418280913,1,1,True
pew_w154_diff1_uniform_n96_047,47,0.0321448003630649,hobbies,"[0.82, 0.18]",0.7147433031222922,0,0,True
pew_w154_diff1_uniform_n96_047,47,0.0321448003630649,physical_abilities,"[0.08, 0.92]",0.5212088949788921,1,1,True
pew_w154_diff1_uniform_n96_047,47,0.0321448003630649,parenting,"[0.22, 0.78]",0.49533246632167327,1,1,True
pew_w154_diff1_uniform_n96_047,47,0.0321448003630649,feelings,"[0.12, 0.88]",0.7421299685878416,1,1,True
pew_w154_diff1_uniform_n96_047,47,0.0321448003630649,workplace,"[0.85, 0.15]",0.5142327973624037,0,0,True
pew_w154_diff1_uniform_n96_079,79,0.0302408941751202,hobbies,"[0.82, 0.18]",0.7971037873354981,0,0,True
pew_w154_diff1_uniform_n96_079,79,0.0302408941751202,physical_abilities,"[0.08, 0.92]",0.897073589051755,1,1,True
pew_w154_diff1_uniform_n96_079,79,0.0302408941751202,parenting,"[0.19, 0.81]",0.08925999966743015,0,0,True
pew_w154_diff1_uniform_n96_079,79,0.0302408941751202,feelings,"[0.13, 0.87]",0.6272626896072615,1,1,True
