tag,item,holdout,mode,prediction,reasoning_summary,held_in,job_id
teen_social_candidate_priors,social_media_hours,social_media_hours,one_shot,"[0.13, 0.42, 0.45]","Teen girls are very high social-media users, with most spending at least an hour daily and a large minority reporting heavy daily use. The middle and highest categories are likely similar in size, with relatively few under one hour.",[],teen_social_candidate_priors_one_shot_social_media_hours
teen_social_candidate_priors,social_media_hours,social_media_hours,one_shot,"[0.1, 0.43, 0.47]","Self-report data (Gallup, Pew, Common Sense) indicate US teen girls average roughly 4-5 hours daily on social media, with girls higher than boys. Few report under an hour; the distribution splits between the 1-3 hour and 4+ hour categories, with heavy users slightly edging out or matching moderate users.",[],teen_social_candidate_priors_one_shot_social_media_hours
teen_social_candidate_priors,posting_frequency,posting_frequency,one_shot,"[0.18, 0.24, 0.33, 0.25]","Teen girls are heavy social-media users, but many primarily consume or message rather than post publicly; posting to followers is common weekly, while daily posting is a smaller but substantial share.",[],teen_social_candidate_priors_one_shot_posting_frequency
teen_social_candidate_priors,posting_frequency,posting_frequency,one_shot,"[0.21, 0.28, 0.32, 0.19]","Most teen girls consume far more content than they post publicly; frequent public posting is a minority behavior, though ephemeral 'story' posting keeps a meaningful daily-poster segment. Expect the bulk in the low-to-moderate frequency categories.",[],teen_social_candidate_priors_one_shot_posting_frequency
teen_social_candidate_priors,late_night_use,late_night_use,one_shot,"[0.11, 0.22, 0.38, 0.29]","Teen girls are heavy social-media users, and bedtime phone use is common, but the phrasing asks about use after intending to sleep, so responses are likely concentrated in 'Sometimes' and 'Often' rather than unanimously frequent.",[],teen_social_candidate_priors_one_shot_late_night_use
teen_social_candidate_priors,late_night_use,late_night_use,one_shot,"[0.05, 0.16, 0.42, 0.37]","Bedtime social-media use is near-universal among teen girls; most report at least occasional delayed sleep from scrolling. With only four options and no 'always', the mass concentrates in 'Sometimes' and 'Often', with a small minority reporting 'Rarely' and very few 'Never'.",[],teen_social_candidate_priors_one_shot_late_night_use
teen_social_candidate_priors,sleep_interference,sleep_interference,one_shot,"[0.1, 0.21, 0.39, 0.3]","Teen girls are heavy social-media users, and sleep disruption is a commonly reported effect, but many would describe it as intermittent rather than constant.",[],teen_social_candidate_priors_one_shot_sleep_interference
teen_social_candidate_priors,sleep_interference,sleep_interference,one_shot,"[0.09, 0.24, 0.42, 0.25]","Most US teen girls report at least occasional sleep disruption from social media; national data (e.g., Pew) show large majorities using phones at night and a substantial minority reporting frequent sleep loss. 'Sometimes' should be the modal category, with 'Often' a sizable minority and only a small share saying 'Never'.",[],teen_social_candidate_priors_one_shot_sleep_interference
teen_social_candidate_priors,social_comparison,social_comparison,one_shot,"[0.13, 0.3, 0.42, 0.15]","Teen girls are heavy social-media users and negative comparison is a common but not usually constant experience; most would report this happening sometimes or rarely, with a smaller share saying often and relatively few saying never.",[],teen_social_candidate_priors_one_shot_social_comparison
teen_social_candidate_priors,social_comparison,social_comparison,one_shot,"[0.14, 0.29, 0.39, 0.18]","Teen girls report more upward social comparison than boys, but most frame it as occasional rather than constant. Prior survey work (e.g., Pew) suggests roughly half report at least sometimes feeling worse, with a modest 'often' tail and a minority saying never. Modal response is 'Sometimes', with 'Rarely' close behind.",[],teen_social_candidate_priors_one_shot_social_comparison
teen_social_candidate_priors,connection_effect,connection_effect,one_shot,"[0.16, 0.3, 0.54]","Teen girls are likely to see social media as helping them stay in touch and aware of friends' lives, though a substantial minority may view it as neutral and some may feel it worsens connection through exclusion, comparison, or conflict.",[],teen_social_candidate_priors_one_shot_connection_effect
teen_social_candidate_priors,connection_effect,connection_effect,one_shot,"[0.12, 0.29, 0.59]","Prior research (e.g., Pew) consistently finds most US teens say social media makes them feel more connected to friends' lives, with a minority reporting negative effects. Teen girls report both stronger connection benefits and somewhat more negative emotional effects than boys, so a solid majority choose 'more connected,' about a quarter say it makes little difference, and roughly one in eight report feeling less connected.",[],teen_social_candidate_priors_one_shot_connection_effect
teen_social_candidate_priors,parental_rules,parental_rules,one_shot,"[0.14, 0.32, 0.37, 0.17]","Most US teen girls likely experience at least some parental expectations around social-media use, but fully strict rules are less common, especially among older teens. A smaller minority likely report no rules at all.",[],teen_social_candidate_priors_one_shot_parental_rules
teen_social_candidate_priors,parental_rules,parental_rules,one_shot,"[0.24, 0.34, 0.3, 0.12]","Most US teen girls report at least some parental involvement in social media, but self-reports skew toward loose or moderate rules rather than strict control; older teens (15-17) often report no rules, while younger teens report clearer limits. Prior survey work (e.g., Pew) shows roughly a quarter to a third of teens saying parents set no real restrictions, a plurality describing informal/loose limits, a sizable minority describing clear rules, and only about 1 in 8 describing very strict rules.",[],teen_social_candidate_priors_one_shot_parental_rules
teen_social_candidate_priors,primary_platform,primary_platform,one_shot,"[0.37, 0.18, 0.23, 0.15, 0.04, 0.03]","Among US teen girls, TikTok is likely the most common primary time-spent platform, with YouTube also very strong. Instagram and Snapchat remain major but somewhat less likely to be the single top platform; nonuse is rare.",[],teen_social_candidate_priors_one_shot_primary_platform
teen_social_candidate_priors,primary_platform,primary_platform,one_shot,"[0.31, 0.24, 0.13, 0.2, 0.08, 0.04]","US teen girls skew heavily toward TikTok, Snapchat, and Instagram for time spent; YouTube is widely used but often seen as video/entertainment rather than the 'most time' social platform for girls (more male-skewed). A small share names other platforms (Pinterest, Discord, Reddit, BeReal, X) and a small minority report not using social media at all.",[],teen_social_candidate_priors_one_shot_primary_platform
